time_s,i_I56_Iout_A,v_vpre_res_V,v_vpre1_res_V
0.023954504499999998,-1.7988370299999998e-05,0.7344083339999999,0.7344083339999999
0.0239545058,-1.7987619899999997e-05,0.4942750008,0.4942750008
0.0239545073,-1.7985415799999996e-05,0.2297933512,0.2297933512
0.0239545079,-1.79840969e-05,0.11489667590000001,0.11489667590000001
0.0239545083,-1.7983405799999998e-05,0.0574483379,0.0574483379
0.0239545086,-1.7982703999999997e-05,0.0,0.0
0.023954508700000002,-1.79825184e-05,0.0,0.0
0.0239545088,-1.79822187e-05,0.0,0.0
0.023954509000000002,-1.7981829399999997e-05,0.0,0.0
0.023954509300000003,-1.79810422e-05,0.0,0.0
0.02395451,-1.79794448e-05,0.0,0.0
0.023954511400000003,-1.79761986e-05,0.0,0.0
0.0239545133,-1.7971730699999996e-05,0.0,0.0
0.0239545159,-1.79655659e-05,0.0,0.0
0.0239545194,-1.79570721e-05,0.0,0.0
0.0239545246,-1.79446145e-05,0.0,0.0
0.023954532100000002,-1.79265185e-05,0.0,0.0
0.0239545429,-1.79006911e-05,0.0,0.0
0.023954558299999998,-1.78639279e-05,0.0,0.0
0.0239545805,-1.78113409e-05,0.0,0.0
0.0239546123,-1.7736292e-05,0.0,0.0
0.023954658200000003,-1.76293847e-05,0.0,0.0
0.023954724400000002,-1.7478004999999998e-05,0.0,0.0
0.0239548198,-1.72653639e-05,0.0,0.0
0.0239549576,-1.6970490099999997e-05,0.0,0.0
0.0239551566,-1.6570253999999997e-05,0.0,0.0
0.0239554443,-1.60468215e-05,0.0,0.0
0.023955860000000002,-1.5406633e-05,0.0,0.0
0.023956461000000002,-1.47141023e-05,0.0,0.0
